asin,pkg_size,is_import,brand
B01BNEWDFQ,1179,0,Colgate
B005PLQIQ4,531,0,Crest
B07CHP3FPQ,460,0,Crest
B07NX7Q9NB,458,0,Crest
B07F2PGS2H,109,0,Other
B01NBG33XR,100,1,SENSODYNE PRONAMEL
B01MY9A3HH,141,0,Other
B01BNHREXE,390,0,Colgate
B07YXDVT9W,340,1,Sensodyne
B06WRS71N8,113.4,0,Other
B07L61QFSR,150,0,Other
B07L625K8T,449,0,Crest
B001G8Z3U2,59,0,Orajel
B00JUJ140M,267.971428571429,0,Tom's of Maine
B07P7QRCWB,431,0,Tom's of Maine
B07L5D13LL,399,0,Colgate
B01MUA08C1,159,0,Crest
B00169Z2SY,60,0,Orajel
B0013HOU28,59,0,Orajel
B0016GCZQO,115.042857142857,1,APAGARD
B0762PS6DN,508,1,SENSODYNE PRONAMEL
B0016GHKLO,119.973333333333,1,APAGARD
B07ZK1573S,449,0,Crest
B00C7PZ20O,380,0,Arm & Hammer
B07K15VPD4,113,1,SENSODYNE PRONAMEL
B07JYNPTMG,109,1,SENSODYNE PRONAMEL
B0000535K8,132,1,Sensodyne
B08MMD7T1Q,481,0,Crest
B082F1QH7S,349,0,Colgate
B08MMFMSZW,431,0,Crest
B07SG3Y66Y,360,1,SENSODYNE PRONAMEL
B01KZOTRG8,350,0,Crest
B00KS6X5OO,180,0,Other
B00EF39784,300,1,Sensodyne
B000MGWIE8,200,0,Other
B01BNEUV9Q,1179,0,Colgate
B015LW1HL2,119.07,0,hello
B004YDVX7I,380,0,Other
B0799HHLC2,431,0,Other
B01B4OB2FC,150,0,hello
B084ZJ6541,422,1,Sensodyne
B0762LYF5D,599,1,Sensodyne
B082VK8TQ1,481,0,Tom's of Maine
B01MZC708J,230,0,Crest
B01MUBCKFE,110,1,Parodontax
B01KZOTTZW,470,0,Crest
B01LWQDM4I,340,0,Colgate
B01LTHYWAQ,608,0,Colgate
B07JWVR1PK,689,0,Colgate
B0762LYFKP,350,1,SENSODYNE PRONAMEL
B076B8PX14,141,0,hello
B01LTHYWB0,608,0,Colgate
B08CYCJFVQ,132,0,Other
B07P6LR9ZD,408,0,Tom's of Maine
B0013TXFFY,141,0,Colgate
B0016GCZSC,114.84625,1,APAGARD
B06X3Q9B5X,200,1,APAGARD
B019FGCM00,230,0,Crest
B01N4IEXJK,141,0,hello
B00JUJ1E0W,370,0,Tom's of Maine
B07XRY29X5,340.19,0,Crest
B07172V55N,240,0,Crest
B07961C65H,440,0,Colgate
B075S725W7,222,0,Crest
B07RD76M8V,240,0,Crest
B00J4YVQ6U,200,0,Colgate
B086Y299CH,109,1,Parodontax
B07MH9C7L8,422,0,Crest
B082F1Q1T9,358,0,Colgate
B00JUJ1BI2,349,0,Tom's of Maine
B00I8YJZ4M,180,0,Tom's of Maine
B0791V11PS,481,0,Crest
B0037LGIH8,181,0,Crest
B00DDZOPN2,132,0,Other
B012T95DI8,168,0,Other
B07RLL3KBF,209,0,Crest
B074F55XJP,116.23,0,Crest
B0823YDCWF,349,0,Colgate
B083JHCCV2,141,0,Other
B00MOZJX4S,118,1,Sensodyne
B07JWVT19F,671,0,Colgate
B09JHSVM58,180,0,Other
B07F2Q38TL,431,0,Tom's of Maine
