asin,brand_grouped_50,bo_nest,clip_nest
B0000535K8,Sensodyne,1,1
B0006PKIQA,Other,4,5
B000FGDID0,JASON,3,5
B000FGDIRQ,JASON,1,5
B000MGWIE8,Other,5,5
B000WSV82Y,Other,3,5
B000YDYWNE,JASON,1,5
B0013HOU28,Orajel,1,5
B0013TXFFY,Colgate,4,2
B0014CQA16,Colgate,2,2
B00169Z2SY,Orajel,1,5
B0016GCZQO,APAGARD,3,5
B0016GCZSC,APAGARD,1,5
B0016GHKLO,APAGARD,1,5
B001G8Z3U2,Orajel,1,5
B002OTJT2A,Arm & Hammer,4,5
B0037LGIH8,Crest,1,3
B003QYQYGG,Orajel,1,5
B004N1ZWIM,Other,3,2
B004YDVX7I,Other,4,5
B0051B5IV4,Other,3,5
B005PLQIQ4,Crest,1,3
B008VPSTOA,Sensodyne,1,1
B009088IN4,Other,1,5
B00C7PZ20O,Arm & Hammer,5,2
B00DDZOPN2,Other,2,5
B00DPIUVOO,Other,3,5
B00EF39784,Sensodyne,2,1
B00H88H4Q0,Sensodyne,3,1
B00I8YJZ4M,Tom's of Maine,1,4
B00I98BAAE,Other,4,5
B00IAH1A40,Colgate,2,2
B00ISUV79C,SENSODYNE PRONAMEL,1,1
B00IUU15GA,Orajel,1,5
B00J4YVQ6U,Colgate,4,2
B00JUJ140M,Tom's of Maine,5,4
B00JUJ14VQ,Tom's of Maine,4,4
B00JUJ1BCS,Tom's of Maine,2,4
B00JUJ1BI2,Tom's of Maine,3,4
B00JUJ1E0W,Tom's of Maine,3,4
B00JUJ1EFC,Tom's of Maine,3,4
B00KS6X5OO,Other,4,2
B00MOZJX4S,Sensodyne,1,1
B00NIAULVC,Other,1,5
B00QJA4GB4,Other,1,5
B00T69D4WM,Tom's of Maine,2,4
B00USCCC5G,Other,2,5
B00WQ1BZU0,Other,4,5
B012T95DI8,Other,2,5
B015LW1HL2,hello,4,5
B015ZRTHVA,Other,2,5
B0195UTEXE,Colgate,1,2
B019FGCLL0,Crest,2,5
B019FGCM00,Crest,5,3
B019MEOV1S,Crest,1,3
B01B4OB2FC,hello,2,5
B01BI9K02Y,Sensodyne,2,1
B01BNEUV9Q,Colgate,1,2
B01BNEWDFQ,Colgate,1,2
B01BNHREXE,Colgate,1,2
B01CWYES90,Other,3,5
B01CWYEUWK,Other,3,5
B01FA7PEQ2,Other,3,5
B01J37CQQ6,Colgate,2,2
B01KZOTRG8,Crest,1,3
B01KZOTTZW,Crest,5,3
B01LTHYW9W,Colgate,1,2
B01LTHYWAQ,Colgate,3,2
B01LTHYWB0,Colgate,3,2
B01LWQDM4I,Colgate,5,2
B01LX217F9,SENSODYNE PRONAMEL,3,1
B01M9BRYDL,Other,2,5
B01MR8EL31,Crest,3,3
B01MTBFP2D,Crest,4,3
B01MUA08C1,Crest,4,3
B01MUBCKFE,Parodontax,1,1
B01MY9A3HH,Other,2,5
B01MZC708J,Crest,5,3
B01N4IEXJK,hello,1,5
B01NBG33XR,SENSODYNE PRONAMEL,5,1
B01NBHM35Y,SENSODYNE PRONAMEL,5,1
B06WRS71N8,Other,5,5
B06X3Q9B5X,APAGARD,3,5
B06XKVPDZR,Parodontax,3,1
B07172V55N,Crest,5,3
B071CDW6DH,Other,3,1
B071RC4QPM,Crest,4,3
B0744Q3XKP,hello,4,5
B074F55XJP,Crest,1,3
B075S725W7,Crest,5,3
B0762LYF5D,Sensodyne,1,1
B0762LYFKP,SENSODYNE PRONAMEL,3,1
B0762PS6DN,SENSODYNE PRONAMEL,3,1
B076B2HSC6,hello,5,5
B076B8PX14,hello,5,5
B077H52NGB,Other,1,5
B0788C493C,Parodontax,1,1
B0788C5QSZ,Parodontax,1,1
B078HQ48JX,Sensodyne,1,1
B0791V11PS,Crest,4,3
B0795VHRJZ,Colgate,1,2
B0795Z8SWZ,Colgate,1,2
B07961C65H,Colgate,5,2
B0799HHLC2,Other,5,5
B079Z4VJS7,hello,5,5
B07C1ZQ5ZY,Sensodyne,1,1
B07CHP3FPQ,Crest,5,3
B07CKG4T6Q,Crest,4,3
B07F2PGS2H,Other,5,5
B07F2Q38TL,Tom's of Maine,3,4
B07GT4XWXZ,Other,5,5
B07H944RLG,Other,3,1
B07JHV6LS2,Colgate,1,2
B07JW8WKH7,Other,5,5
B07JWVR1PK,Colgate,3,2
B07JWVT19F,Colgate,3,2
B07JYNPTMG,SENSODYNE PRONAMEL,1,1
B07K15VPD4,SENSODYNE PRONAMEL,1,1
B07L3MX468,Colgate,5,2
B07L5D13LL,Colgate,3,2
B07L5H35RR,Colgate,4,2
B07L5PDS11,Colgate,4,2
B07L5QNJW3,Colgate,3,2
B07L61QFSR,Other,2,5
B07L625K8T,Crest,5,3
B07MGC24KH,Crest,1,3
B07MH9C7L8,Crest,2,3
B07MHF9BXW,Other,4,5
B07MZ7M2VF,Parodontax,1,1
