model,variable,beta,se,t_stat,signif
Logit,prices_alpha,-0.310052230678198,,,calibrated
Logit,pkg_size,0.00373517005446381,0.00026218760319989,14.2461733845446,***
Logit,joint_pc1,-0.403398851088229,0.0424244926504749,-9.5086311205118,***
Logit,joint_pc2,0.203342111111068,0.0374004703369154,5.436886469055,***
Logit,joint_pc3,-0.166747260165513,0.0386368207710239,-4.31576037670695,***
Logit,joint_pc4,0.211542408400803,0.0398930607787616,5.30273697408107,***
Logit,joint_pc5,-0.165165972615051,0.0390054182641475,-4.23443664919922,***
Logit,is_other,0.084932177896387,0.132716590839724,0.639951473730633,""
Logit,import_freight_shock,0.676731967654965,0.234190915507353,2.88965934561931,***
Logit,rho,0,,,fixed
