rep,rhoA,dropA,negA,helloA,colgA,sameA,rhoB,dropB,negB,helloB,colgB
1,0.47,3.7,1.4,7.224,0.587,0,0.32,2.6,2,5.924,0.449
2,0.33,2.1,1.9,3.688,0.416,0,0.45,4.8,1.5,4.195,0.295
3,0.44,3.8,1.6,7.631,0.461,0,0.42,4.3,1.5,6.369,0.44
4,0.52,4.9,1.1,6.512,0.522,0,0.57,7.7,0.7,5.973,0.458
5,0.59,5.8,0.6,5.782,0.362,0,0.46,5.2,1.3,2.681,0.351
6,0.53,5.2,0.9,9.742,0.511,0,0.63,9.6,0.4,5.001,0.277
7,0.61,6.9,0.3,7.492,0.469,1,0.56,7.5,0.8,8.614,0.467
8,0.48,4.1,1.4,4.955,0.301,0,0.38,3.5,1.7,7.226,0.552
9,0.63,7,0.4,7.917,0.535,0,0.64,10.5,0.2,5.792,0.392
10,0.58,5.9,0.8,6.097,0.337,0,0.43,4.3,1.6,5.105,0.345
11,0.54,5.1,1.2,4.177,0.247,0,0.48,5.4,1.4,6.178,0.529
12,0.63,6.9,0.3,5.268,0.318,0,0.24,1.5,2.7,3.973,0.345
13,0.45,4.2,1.4,5.665,0.504,0,0.39,3.6,1.6,6.424,0.441
14,0.66,8.1,0.4,5.124,0.369,0,0.36,3.1,1.8,8.568,0.395
15,0.54,5.2,0.7,6.496,0.268,0,0.18,0.8,4.6,2.862,0.246
16,0.53,5.4,0.9,6.9,0.637,0,0.47,4.8,1.5,6.976,0.429
17,0.46,4.1,1.2,4.474,0.399,0,0.47,4.3,1.4,10.662,0.616
18,0.68,8.7,0.1,5.605,0.32,0,0.38,3.6,1.7,5.361,0.423
19,0.54,5.3,0.9,4.867,0.445,0,0.25,1.6,2.8,2.259,0.205
20,0.44,3.5,1.6,6.108,0.538,0,0.2,1,3.4,3.757,0.364
21,0.44,3.6,1.6,7.628,0.574,0,0.3,2.3,2.3,4.609,0.359
22,0.55,5.6,0.9,6.409,0.291,0,0.51,5.9,1,3.71,0.254
23,0.43,3.6,1.6,4.66,0.408,0,0.32,2.3,2,3.578,0.192
24,0.57,5.7,0.7,5.322,0.486,1,0.39,4,1.9,5.541,0.485
25,0.52,4.6,0.9,6.46,0.388,0,0.54,7.6,0.7,6.801,0.259
26,0.53,5,0.9,5.709,0.478,0,0.32,2.7,2,5.045,0.453
27,0.48,4.3,1.4,5.131,0.386,0,0.37,3.5,1.9,3.857,0.263
28,0.46,3.9,1.5,7.666,0.401,0,0.54,6.9,0.9,4.188,0.262
29,0.57,6.2,0.8,7.522,0.526,0,0.42,4.4,1.6,4.727,0.373
30,0.48,4.1,1.4,5.143,0.587,0,0.49,5.5,1.4,4.667,0.451
31,0.48,4.3,1.2,5.191,0.379,0,0.43,4.7,1.5,3.864,0.45
32,0.38,2.7,1.7,7.032,0.486,1,0.6,8.5,0.7,5.993,0.362
33,0.55,5.9,0.8,6.524,0.459,0,0.4,3.7,1.7,4.811,0.433
34,0.53,5.4,1,5.17,0.436,0,0.46,4.8,1.5,4.834,0.335
35,0.5,5,1.3,5.692,0.409,0,0.47,5.6,1.3,6.641,0.445
36,0.49,4.4,1,10.176,0.464,0,0.3,2,2.3,4.01,0.344
37,0.65,8.3,0.3,8.809,0.46,0,0.29,2.1,2.1,3.058,0.311
38,0.5,4.4,1.2,6.945,0.572,0,0.47,6.2,1.5,5.559,0.448
39,0.61,6.9,0.3,6.423,0.403,1,0.45,4.3,1.4,5.651,0.472
40,0.62,6.7,0.2,4.983,0.303,0,0.31,2.9,2.4,4.672,0.413
41,0.63,7.2,0.1,3.725,0.154,0,0.36,2.9,1.7,6.175,0.482
42,0.48,4.3,1.3,7.943,0.564,0,0.47,4.8,1.2,4.802,0.266
43,0.58,6.4,0.5,6.133,0.357,0,0.32,2.4,2,5.144,0.424
