scenario,lambda,alpha,rho_star,rss_drop,neg_mc,hello_eff,colgate_eff
M1 baseline,13.93,-0.31005,0,0,8.6,1.233,0.104
"M1, market size x2",27.86,-0.30966,0,0,8.4,0.634,0.054
"M1, market size x5",69.65,-0.30948,0,0,8.4,0.258,0.022
"M1, market size x10",139.3,-0.30942,0,0,8.4,0.13,0.011
M3 baseline,13.93,-0.31005,0.67,8.1,1.7,0.404,0.018
"M3, market size x2",27.86,-0.30966,0.67,8.1,1.6,0.211,0.01
"M3, market size x5",69.65,-0.30948,0.67,8.1,1.6,0.087,0.004
"M3, market size x10",139.3,-0.30942,0.67,8.1,1.6,0.044,0.002
"M2, alpha recalibrated at rho*",13.93,-0.21182,0.35,3.1,20.7,1.81,0.157
"M3, alpha recalibrated at rho*",13.93,-0.11118,0.67,8.1,36.3,0.944,0.057
"M3, MC from 2019Q4 only",13.93,-0.31005,0.67,8.1,1.7,0.44,0.022
