asin,brand_grouped_50,txn_count,has_img,has_text,chosen_img_url,asin_img_pc1,asin_text_pc1,asin_img_pc2,asin_text_pc2,asin_img_pc3,asin_text_pc3,asin_img_pc4,asin_text_pc4,asin_img_pc5,asin_text_pc5
B0000535K8,Sensodyne,1,1,1,https://m.media-amazon.com/images/I/71p5xNeDU9L.jpg;https://m.media-amazon.com/images/I/71Tcp0cOqmL.jpg;https://m.media-amazon.com/images/I/81K5JweOMhL.jpg;https://m.media-amazon.com/images/I/71a-GCJ6LPL.jpg;https://m.media-amazon.com/images/I/81VjBVebLTL.jpg;https://m.media-amazon.com/images/I/71VV5SsvZOL.jpg;https://m.media-amazon.com/images/I/716XwA3sr3L.jpg;https://m.media-amazon.com/images/I/71S6PKlMI+L.jpg;https://m.media-amazon.com/images/I/719HqQvjlWL.jpg,-8.069105,-6.4248247,5.884291,14.835564,-0.6198324,4.4783773,-0.60203004,-0.09251969,11.472979,-2.0228796
B0006PKIQA,Other,1,1,1,https://m.media-amazon.com/images/I/71WpeVuIURL.jpg;https://m.media-amazon.com/images/I/41rD7NZnJKL.jpg;https://m.media-amazon.com/images/I/318MvDrnUgL.jpg;https://m.media-amazon.com/images/I/61e961s0-ML.jpg;https://m.media-amazon.com/images/I/61Sog+9UzKL.jpg;https://m.media-amazon.com/images/I/81+R9xvN4dL.jpg;https://m.media-amazon.com/images/I/31ptus-i8iL.jpg,-0.6613757,-0.9063147,0.49848914,-0.07006029,4.4481573,4.089413,-0.8892642,-3.2656739,-0.95879894,7.7024455
B000FGDID0,JASON,1,1,1,https://m.media-amazon.com/images/I/618C9Tirs5L.jpg;https://m.media-amazon.com/images/I/71MUu9ND5gL.jpg;https://m.media-amazon.com/images/I/71Q4OXuMpoL.jpg;https://m.media-amazon.com/images/I/61IhDx2s1EL.jpg;https://m.media-amazon.com/images/I/61hdllul8YL.jpg;https://m.media-amazon.com/images/I/514CcEpXzXL.jpg;https://m.media-amazon.com/images/I/71ZtOWztHYL.jpg;https://m.media-amazon.com/images/I/41rqqliC6eL.jpg,-5.811851,10.1241665,1.1072775,-1.9157091,-3.6742103,3.8293529,0.7331029,-0.233499,0.76752234,-2.0070806
B000FGDIRQ,JASON,1,1,1,https://m.media-amazon.com/images/I/61UeiidAy+L.jpg;https://m.media-amazon.com/images/I/41cFXsy2-xL.jpg;https://m.media-amazon.com/images/I/41nX6J8y67L.jpg;https://m.media-amazon.com/images/I/71i5qo-W9LL.jpg;https://m.media-amazon.com/images/I/71MV0ihhVAL.jpg;https://m.media-amazon.com/images/I/719D9jYWqQL.jpg;https://m.media-amazon.com/images/I/31hIKVdV05L.jpg;https://m.media-amazon.com/images/I/41RH0QLOs3L.jpg;https://m.media-amazon.com/images/I/310ajq20M6L.jpg;https://m.media-amazon.com/images/I/41ELO6owuUL.jpg,-7.554147,3.613254,-3.9894311,0.29350522,-0.99566466,4.6510854,4.4220314,-4.3630085,1.2652566,-0.5351679
B000MGWIE8,Other,1,1,1,https://m.media-amazon.com/images/I/61DMzxcQ3tL.jpg;https://m.media-amazon.com/images/I/71l-w-S6ECL.jpg;https://m.media-amazon.com/images/I/61BV17C+B4L.jpg;https://m.media-amazon.com/images/I/711M6SUDsHL.jpg;https://m.media-amazon.com/images/I/713bP12KNoL.jpg;https://m.media-amazon.com/images/I/81390oYQIML.jpg;https://m.media-amazon.com/images/I/71U74vB4jvL.jpg;https://m.media-amazon.com/images/I/51SOamFIkHL.jpg,0.38739654,-0.69351697,0.13662736,3.1734009,-4.9793324,-0.5259961,3.213514,-3.561206,4.2318783,1.8062248
B000WSV82Y,Other,1,1,1,https://m.media-amazon.com/images/I/81tt5QXe2JL.jpg;https://m.media-amazon.com/images/I/61wXK4quBrL.jpg;https://m.media-amazon.com/images/I/61Syv0d6fXL.jpg;https://m.media-amazon.com/images/I/71nCtrGKmRL.jpg;https://m.media-amazon.com/images/I/71RIa4XjY8L.jpg;https://m.media-amazon.com/images/I/71synXqP-hL.jpg;https://m.media-amazon.com/images/I/61bm6nts5ZL.jpg;https://m.media-amazon.com/images/I/81fwQZQ9VFL.jpg;https://m.media-amazon.com/images/I/71OySkBEcBL.jpg,-9.78932,4.0742016,-3.7267852,-0.5190783,-2.0773935,4.052441,3.1576326,-1.3130169,-4.0522804,-4.8766727
B000YDYWNE,JASON,1,1,1,https://m.media-amazon.com/images/I/61ibFxT033L.jpg,-11.781956,0.61226505,-0.43251494,1.0302069,-2.1756027,2.3366644,3.2580342,-3.586094,-0.88639367,1.2411662
B0013HOU28,Orajel,1,1,1,https://m.media-amazon.com/images/I/714irR1Z3ZL.jpg;https://m.media-amazon.com/images/I/7150ZS+o84L.jpg;https://m.media-amazon.com/images/I/71zxr173wtL.jpg;https://m.media-amazon.com/images/I/71aea2vpEpL.jpg;https://m.media-amazon.com/images/I/614LLUIsYpL.jpg;https://m.media-amazon.com/images/I/51BOx2cFrIL.jpg;https://m.media-amazon.com/images/I/71KskJcOu-L.jpg;https://m.media-amazon.com/images/I/41kitlm-PaL.jpg;https://m.media-amazon.com/images/I/41Vq5Ldlv2L.jpg;https://m.media-amazon.com/images/I/31Bm8fQRMYL.jpg,2.1706645,12.482885,2.376977,-0.33311406,7.6608596,-2.129063,0.76064074,2.1624691,-5.9136915,8.2476
B0013TXFFY,Colgate,1,1,1,https://m.media-amazon.com/images/I/712MhY3kczL.jpg;https://m.media-amazon.com/images/I/71UhPUSMRlL.jpg,-2.823706,-0.31355998,4.706261,0.21977837,-2.0883462,-8.7248125,-2.3125079,3.256442,-1.6703004,5.525602
B0014CQA16,Colgate,1,1,1,https://m.media-amazon.com/images/I/81pTOabdUEL.jpg;https://m.media-amazon.com/images/I/71nZ-kmMt0L.jpg;https://m.media-amazon.com/images/I/81RtAuhdbLL.jpg;https://m.media-amazon.com/images/I/81ANADsINYL.jpg;https://m.media-amazon.com/images/I/71zAHpr1a6L.jpg;https://m.media-amazon.com/images/I/71RcV0Hl3rL.jpg;https://m.media-amazon.com/images/I/61m2AjqzFML.jpg;https://m.media-amazon.com/images/I/61hOOc++W1L.jpg;https://m.media-amazon.com/images/I/81vvFcMQ+rL.jpg,4.9968104,5.157189,2.2964318,-2.3165226,1.8775188,-8.77373,2.9916909,5.448925,-0.9340947,1.1065888
