asin,brand_grouped_50,title,product_benefit
B0000535K8,Sensodyne,"Sensodyne Extra Whitening Toothpaste for Sensitive Teeth, Cavity Prevention and Sensitive Teeth Whitening - 4 Ounces","Whitening, Cavity Protection, Sensitivity Relief"
B0006PKIQA,Other,Marvis Classic Strong Mint Toothpaste,"With the aid of brushing, helps remove plaque and tartar for a sparkling smile"
B000FGDID0,JASON,"Jason Healthy Mouth Tartar Control Fluoride-Free Paste, Tea Tree Oil & Cinnamon, 4.2 Oz (Packaging May Vary)",Tartar Control
B000FGDIRQ,JASON,"Jason Sea Fresh Strengthening Fluoride-Free Toothpaste, Deep Sea Spearmint, 6 Oz",Whitening; Plaque Removal; Tartar Control; Bad Breath Treatment
B000MGWIE8,Other,"NOW Solutions, Xyliwhiteâ„¢ Toothpaste Gel, Refreshmint, Cleanses and Whitens, Fresh Taste, 6.4-Ounce",Whitening
B000WSV82Y,Other,Desert Essence Tea Tree Oil & Neem Toothpaste - 6.25 Ounce - Pack of 3 - Refreshing Rich Taste - Baking Soda & Essential Oil of Wintergreen - Antiseptic - Natural Ingredients - Fluoride & Gluten Free,Brightening
B000YDYWNE,JASON,"Jason Powersmile Whitening Fluoride-Free Toothpaste, Powerful Peppermint, 6 Oz",Whitening
B0013HOU28,Orajel,Orajel Kids Elmo Training Toothpaste Fluoride-Free 1 Pediatrician Recommended Fluoride-Free Toothpaste 1.5oz Tube,Deep Clean
B0013TXFFY,Colgate,"Colgate, PPAX1176035, Gel-Kam Fluoride Preventive Treatment, Gel Mint Flavor, 4.30 Ounce Tube, 1 Pack",Gingivitis Prevention
B0014CQA16,Colgate,"Colgate Kids Toothpaste, Watermelon Burst, Anticavity Fluoride Toothpaste, Less Mess Dispensing, 4.6 Ounce, 6 Pack","Enamel Protection,Cavity Protection"
B00169Z2SY,Orajel,"Orajel Kids Paw Patrol Fluoride-Free Training Toothpaste, Natural Fruity Fun Flavor, #1 Pediatrician Recommended Fluoride-Free Toothpaste, 1.5oz Tube",Brightening
B0016GCZQO,APAGARD,Apagard M-Plus toothpaste 115g | the first nanohydroxyapatite remineralizing toothpaste,"paste, remineralizing"
B0016GCZSC,APAGARD,Apagard Premio toothpaste 100g | the first nanohydroxyapatite remineralizing toothpaste,"paste, remineralizing"
B0016GHKLO,APAGARD,Apagard Smokin' toothpaste for smoker 100g | the first nanohydroxyapatite remineralizing toothpaste,"paste, remineralizing"
B001G8Z3U2,Orajel,"Orajel Elmo Fluoride-Free Tooth & Gum Cleanser with Toothbrush, Combo Pack, Banana Apple Flavored Non-Fluoride, 2 Piece Set","Gentle cleaning and safe for babies, free of fluoride harmful substances"
B002OTJT2A,Arm & Hammer,"Arm & Hammer PeroxiCare Deep Clean Toothpaste, 6 oz.","Whitening,Tartar Control"
B0037LGIH8,Crest,"Crest Complete Whitening and Scope Outlast Mint Toothpaste, 5.8 oz",Whitening
B003QYQYGG,Orajel,"Orajel My Little Pony Fluoride-Free Training Toothpaste, Pinky Fruity Flavor, One 1.5oz Tube: Orajel #1 Pediatrician Recommended Brand for Kids Non-Fluoride Toothpaste",Freshens breath
B004N1ZWIM,Other,"Aquafresh Extreme Clean, Whitening Action, Fluoride Toothpaste for Cavity Protection, Twinpack, 11.2 Ounce",Cavity Protection; Whitening
B004YDVX7I,Other,"ARM & HAMMER Peroxicare Toothpaste, TWIN PACK (Contains Two 6oz Tubes) âââ€š¬ââ‚¬Å“ Clean Mint- Fluoride Toothpaste",Tartar Control
B0051B5IV4,Other,"CloSYS Fluoride Toothpaste, 7 Ounce, Gentle Mint, Whitening, Enamel Protection, Sulfate Free","Whitening,Enamel Protection"
